%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
629756000000,95,629746000000,world,firefly/base_link,0.0055847168,-0.0105171204,0.0609968845,6.98917384108E-06,6.44230612778E-06,-0.0001630124,0.9999999867,-0.0002446347,0.000518675,-0.0194450745,0.0100350806,0.0043630675,-0.0008995369
629772000000,96,629768000000,world,firefly/base_link,0.0064506531,-0.0091514587,0.0610357746,-6.67431499584E-06,0.000001398,-0.000163971,0.9999999865,-0.0002565556,0.0005540708,0.0001867226,-0.0059536483,0.0096948458,0.009877242
629780000000,96,629774000000,world,firefly/base_link,0.0064506531,-0.0091514587,0.0610357746,2.1788584861E-07,3.88049594163E-06,-0.0001645947,0.9999999864,-0.0002565626,0.0005540805,0.0001867233,9.92992254679E-05,0.0024151289,-0.0076382226
629798000000,97,629796000000,world,firefly/base_link,0.0064506531,-0.0091514587,0.0610354005,-4.75094152693E-07,3.8807086584E-06,-0.0001666374,0.9999999861,0.0003281537,-0.0004222388,0.0099252529,-0.0085259303,0.0084273814,0.0131932907
629808000000,97,629804000000,world,firefly/base_link,0.0064506531,-0.0091514587,0.0610357746,-6.46651050945E-06,1.39793388633E-06,-0.0001670351,0.999999986,-0.0002565572,0.0005540732,0.0001867228,0.0057956831,-0.0061491414,0.0131019296
629832000000,98,629820000000,world,firefly/base_link,0.006401062,-0.0095558167,0.0610354005,7.38624031E-06,6.44218113601E-06,-0.0001696512,0.9999999856,0.000328153,-0.00042223,0.0099252488,0.0146582289,0.0069784219,0.0030441933
629832000000,98,629818000000,world,firefly/base_link,0.006401062,-0.0095558167,0.0609968845,7.38624031E-06,6.44218113601E-06,-0.0001696512,0.9999999856,-0.0002446349,0.000518686,-0.0194450743,0.0146582289,0.0069784219,0.0030441933
629848000000,99,629844000000,world,firefly/base_link,0.006401062,-0.0095558167,0.0610354005,-6.34709098382E-06,0.000001398,-0.0001706098,0.9999999854,0.0003281537,-0.0004222382,0.009925253,-0.0032699667,0.005123252,0.0059445341
629856000000,99,629850000000,world,firefly/base_link,0.0054512024,-0.0095863342,0.0610354005,6.98921520507E-06,6.44224571684E-06,-0.0001716938,0.9999999852,0.0003281536,-0.0004222402,0.0099252528,-0.0041179287,0.0039756435,0.0018897793
629870000000,100,629870000000,world,firefly/base_link,0.0059204102,-0.0101013184,0.0610357746,-7.81244517483E-07,3.88076470703E-06,-0.0001727654,0.9999999851,-0.0002565555,0.000554071,0.0001867225,-0.0103798021,-0.0099163424,0.0067439688
