%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
629754000000,1101,629754000000,world,firefly/odometry_sensor1,8.59417116085E-06,-1.13269006373E-06,0.0610354005,6.98140055713E-06,0.000006442,-0.0001630123,0.9999999867,0.0003281534,-0.0004222433,0.0099252515,0.0052352087,0.0031180525,-0.0004529435
629758000000,1102,629758000000,world,firefly/odometry_sensor1,7.59244165979E-06,1.01378900671E-06,0.0609968845,-6.52824826116E-06,1.3976760271E-06,-0.0001629496,0.9999999867,-0.0002446357,0.00051869,-0.0194450733,-0.0058983748,-0.0024836934,0.0001129325
629760000000,1103,629760000000,world,firefly/odometry_sensor1,8.61848311246E-06,-1.12769317312E-06,0.0610354005,0.000006898,0.000006442,-0.000163523,0.9999999866,0.0003281534,-0.0004222449,0.0099252515,0.0052359584,0.0031180528,-0.0004529419
629762000000,1104,629762000000,world,firefly/odometry_sensor1,8.10579667747E-06,-1.82489023677E-08,0.0610357746,-7.11458868648E-07,3.88041790049E-06,-0.0001635732,0.9999999866,-0.0002565574,0.0005540712,0.0001867217,-0.0076028097,-0.002562542,-4.58051789856E-05
629764000000,1105,629764000000,world,firefly/odometry_sensor1,7.6167553458E-06,1.0187684609E-06,0.0609968845,-6.60749473158E-06,1.39768637753E-06,-0.0001634603,0.9999999866,-0.0002446358,0.0005186857,-0.0194450745,-0.0058956301,-0.002483696,0.000112933
629766000000,1106,629766000000,world,firefly/odometry_sensor1,8.6427969236E-06,-1.12277186934E-06,0.0610354005,6.81940145019E-06,0.000006442,-0.0001640336,0.9999999865,0.0003281538,-0.0004222448,0.0099252528,0.0052361821,0.0031180608,-0.0004529418
629768000000,1107,629768000000,world,firefly/odometry_sensor1,8.13011526733E-06,-1.33277977852E-08,0.0610357746,-7.89136664011E-07,3.88045518211E-06,-0.0001640839,0.9999999865,-0.0002565556,0.0005540708,0.0001867226,-0.0076018399,-0.0025625214,-4.57996620986E-05
629776000000,1108,629774000000,world,firefly/odometry_sensor1,8.15441458404E-06,-8.39782023918E-09,0.0610357746,2.10206958803E-07,3.8801937235E-06,-0.0001645946,0.9999999864,-0.0002565626,0.0005540805,0.0001867233,-0.0076375919,-0.0025625983,-4.58237306403E-05
629782000000,1109,629776000000,world,firefly/odometry_sensor1,7.66537029958E-06,1.02868542357E-06,0.0609968845,-7.08667245815E-06,1.39766553212E-06,-0.0001644816,0.9999999864,-0.0002446384,0.0005187368,-0.0194450692,-0.0072964711,-0.0024837292,0.0001129297
629782000000,1111,629780000000,world,firefly/odometry_sensor1,8.17872351842E-06,-3.19664215887E-09,0.0610357746,-1.68368001746E-07,3.8802411728E-06,-0.0001651053,0.9999999864,-0.000256563,0.0005540731,0.0001867187,-0.0076180216,-0.0025626071,-4.58192860145E-05
629784000000,1112,629782000000,world,firefly/odometry_sensor1,7.68967938938E-06,1.03382801752E-06,0.0609968845,-6.07787682048E-06,1.39747762773E-06,-0.0001649923,0.9999999864,-0.0002446388,0.000518668,-0.0194450756,-0.0059090992,-0.0024837392,0.0001129301
629784000000,1113,629784000000,world,firefly/odometry_sensor1,8.71573390397E-06,-1.10773123446E-06,0.0610354005,0.000007339,6.44187383096E-06,-0.0001655657,0.9999999862,0.0003281548,-0.0004222341,0.0099252539,0.0052260556,0.0031180684,-0.0004529476
629786000000,1114,629786000000,world,firefly/odometry_sensor1,8.20305543626E-06,1.71551341461E-09,0.0610357746,-2.8130160817E-07,3.88035494855E-06,-0.000165616,0.9999999863,-0.0002565557,0.0005540715,0.0001867221,-0.0076136054,-0.002562525,-4.57952628877E-05
629788000000,1115,629788000000,world,firefly/odometry_sensor1,0.000007714,1.03873441535E-06,0.0609968845,-6.18934658456E-06,1.39764657565E-06,-0.000165503,0.9999999863,-0.0002446351,0.0005186692,-0.0194450747,-0.0059076341,-0.0024836868,0.0001129384
629790000000,1116,629790000000,world,firefly/odometry_sensor1,0.00000874,-1.10280542136E-06,0.0610354005,7.23118115988E-06,6.44189356271E-06,-0.0001660763,0.9999999862,0.000328154,-0.0004222367,0.0099252532,0.0052298335,0.0031180614,-0.0004529439
629792000000,1117,629792000000,world,firefly/odometry_sensor1,8.22737243133E-06,6.64079982051E-09,0.0610357746,-3.85643608772E-07,3.88038435495E-06,-0.0001661266,0.9999999862,-0.0002565553,0.000554071,0.0001867223,-0.0076101213,-0.0025625186,-4.57971634584E-05
629794000000,1118,629794000000,world,firefly/odometry_sensor1,7.73833879597E-06,1.04365921594E-06,0.0609968845,-6.29172353208E-06,1.39768513748E-06,-0.0001660137,0.9999999862,-0.0002446346,0.0005186727,-0.0194450745,-0.0059056678,-0.0024836804,0.000112937
629796000000,1119,629796000000,world,firefly/odometry_sensor1,8.76436354858E-06,-1.09788068756E-06,0.0610354005,7.13150272006E-06,6.44191264598E-06,-0.000166587,0.9999999861,0.0003281537,-0.0004222388,0.0099252529,0.0052325374,0.0031180593,-0.0004529442
629800000000,1120,629798000000,world,firefly/odometry_sensor1,8.25168796806E-06,1.15658935091E-08,0.0610357746,-4.8258587187E-07,3.8804064208E-06,-0.0001666373,0.9999999861,-0.0002565554,0.0005540709,0.0001867223,-0.0076073838,-0.0025625191,-4.5798306896E-05
629804000000,1121,629800000000,world,firefly/odometry_sensor1,7.76265526146E-06,1.04858466649E-06,0.0609968845,-6.38629362809E-06,1.39770960186E-06,-0.0001665243,0.9999999861,-0.0002446347,0.0005186763,-0.0194450745,-0.0059032944,-0.0024836806,0.0001129361
629806000000,1122,629802000000,world,firefly/odometry_sensor1,8.78867710677E-06,-0.000001093,0.0610354005,7.03879120648E-06,6.44192232032E-06,-0.0001670977,0.999999986,0.0003281535,-0.0004222423,0.0099252516,0.0052343938,0.0031180527,-0.0004529456
629806000000,1123,629804000000,world,firefly/odometry_sensor1,0.000008276,1.64922258284E-08,0.0610357746,-5.7320303747E-07,3.8803994086E-06,-0.0001671479,0.999999986,-0.0002565572,0.0005540732,0.0001867228,-0.0076052882,-0.0025625393,-0.000045806
629806000000,1124,629806000000,world,firefly/odometry_sensor1,0.000007787,1.05352810043E-06,0.0609968845,-6.47389438501E-06,1.39769260435E-06,-0.000167035,0.999999986,-0.0002446357,0.000518688,-0.0194450733,-0.0059002767,-0.0024836931,0.0001129333
629810000000,1125,629808000000,world,firefly/odometry_sensor1,0.000008813,-0.000001088,0.0610354005,0.000006952,6.44193306291E-06,-0.0001676083,0.9999999859,0.0003281534,-0.0004222439,0.0099252516,0.0052355325,0.0031180527,-0.000452944
629812000000,1126,629810000000,world,firefly/odometry_sensor1,8.30031207661E-06,2.14859484777E-08,0.0610357746,-6.58350903325E-07,3.88041135294E-06,-0.0001676586,0.9999999859,-0.0002565573,0.0005540713,0.0001867216,-0.0076036395,-0.0025625417,-4.5804541035E-05
629812000000,1127,629812000000,world,firefly/odometry_sensor1,7.81127929325E-06,1.05850750198E-06,0.0609968845,-6.55643485877E-06,1.39770443861E-06,-0.0001675457,0.9999999859,-0.0002446358,0.0005186838,-0.0194450746,-0.0058976681,-0.0024836958,0.0001129337
629814000000,1128,629814000000,world,firefly/odometry_sensor1,8.83730337755E-06,-0.000001083,0.0610354005,6.87037708877E-06,6.44194732316E-06,-0.000168119,0.9999999858,0.0003281539,-0.0004222439,0.0099252528,0.0052360782,0.0031180606,-0.000452944
629818000000,1129,629816000000,world,firefly/odometry_sensor1,8.32463084267E-06,2.64070873069E-08,0.0610357746,-7.38760965561E-07,3.88044975316E-06,-0.0001681693,0.9999999859,-0.0002565555,0.0005540709,0.0001867225,-0.0076024293,-0.0025625212,-4.57990671417E-05
629818000000,1130,629818000000,world,firefly/odometry_sensor1,7.83560098133E-06,1.06342752237E-06,0.0609968845,-6.63368898567E-06,1.39775831827E-06,-0.0001680563,0.9999999859,-0.0002446349,0.000518686,-0.0194450743,-0.0058945108,-0.0024836828,0.0001129353
629820000000,1131,629820000000,world,firefly/odometry_sensor1,8.86161574333E-06,-1.07813037692E-06,0.0610354005,7.90256962465E-06,6.44174949756E-06,-0.0001686297,0.9999999857,0.000328153,-0.00042223,0.0099252488,0.0063455542,0.0031180363,-0.0004529445
629820000000,1132,629824000000,world,firefly/odometry_sensor1,7.85989446975E-06,1.06842453851E-06,0.0609968845,-7.04206100141E-06,1.39768669903E-06,-0.000168567,0.9999999858,-0.0002446384,0.0005187351,-0.0194450693,-0.0072970981,-0.0024837292,0.0001129303
629826000000,1133,629826000000,world,firefly/odometry_sensor1,8.88592442644E-06,-1.07291586487E-06,0.0610354005,7.49954424401E-06,6.44180761286E-06,-0.0001691404,0.9999999856,0.000328153,-0.0004222376,0.0099252487,0.0063522445,0.0031180375,-0.0004529382
629826000000,1134,629828000000,world,firefly/odometry_sensor1,8.37323934412E-06,3.65377155267E-08,0.0610357746,-0.000000127,3.8802349471E-06,-0.0001691907,0.9999999857,-0.0002565629,0.0005540732,0.0001867187,-0.0076197956,-0.0025626069,-4.58187728107E-05
629832000000,1135,629830000000,world,firefly/odometry_sensor1,7.88420373258E-06,1.07356651956E-06,0.0609968845,-6.03681956527E-06,1.39749566949E-06,-0.0001690777,0.9999999857,-0.0002446388,0.0005186665,-0.0194450756,-0.0059094373,-0.0024837391,0.0001129307
629832000000,1136,629832000000,world,firefly/odometry_sensor1,8.91024073741E-06,-0.000001068,0.0610354005,7.37848025748E-06,6.44183720268E-06,-0.0001696511,0.9999999856,0.0003281548,-0.0004222334,0.0099252539,0.0052244501,0.0031180682,-0.0004529498
629834000000,1137,629834000000,world,firefly/odometry_sensor1,8.39757137697E-06,4.1449402245E-08,0.0610357746,-2.43245467858E-07,3.88034986177E-06,-0.0001697013,0.9999999856,-0.0002565556,0.0005540716,0.000186722,-0.0076150131,-0.0025625248,-4.57947509128E-05
629836000000,1138,629836000000,world,firefly/odometry_sensor1,7.90854435911E-06,1.0784724476E-06,0.0609968845,-6.15186104781E-06,1.39766580157E-06,-0.0001695884,0.9999999856,-0.000244635,0.0005186678,-0.0194450748,-0.0059081946,-0.0024836868,0.0001129389
629838000000,1139,629838000000,world,firefly/odometry_sensor1,8.93455588352E-06,-1.06307623055E-06,0.0610354005,7.26751485185E-06,6.44185793591E-06,-0.0001701617,0.9999999855,0.000328154,-0.0004222361,0.0099252532,0.00522866,0.0031180612,-0.000452946
629840000000,1140,629840000000,world,firefly/odometry_sensor1,8.42188846236E-06,4.63743616805E-08,0.0610357746,-3.50433194138E-07,3.88038018604E-06,-0.000170212,0.9999999855,-0.0002565552,0.0005540711,0.0001867222,-0.0076112341,-0.0025625185,-4.5796669073E-05
629842000000,1141,629842000000,world,firefly/odometry_sensor1,7.93286334158E-06,1.08339692749E-06,0.0609968845,-6.25725347851E-06,1.39770528707E-06,-0.000170099,0.9999999855,-0.0002446346,0.0005186714,-0.0194450746,-0.005906398,-0.0024836803,0.0001129375
629844000000,1142,629844000000,world,firefly/odometry_sensor1,8.95887056228E-06,-1.0581517124E-06,0.0610354005,7.16516550135E-06,6.44187788174E-06,-0.0001706724,0.9999999854,0.0003281537,-0.0004222382,0.009925253,0.0052317091,0.003118059,-0.0004529463
629846000000,1143,629846000000,world,firefly/odometry_sensor1,8.44620408226E-06,5.12992322198E-08,0.0610357746,-4.49806254459E-07,3.8804030471E-06,-0.0001707226,0.9999999854,-0.0002565553,0.0005540709,0.0001867222,-0.0076082565,-0.0025625189,-4.57978275693E-05
629848000000,1144,629848000000,world,firefly/odometry_sensor1,7.95717988847E-06,1.08832216065E-06,0.0609968845,-6.35438518876E-06,1.39773054673E-06,-0.0001706097,0.9999999854,-0.0002446347,0.0005186751,-0.0194450745,-0.0059041554,-0.0024836806,0.0001129366
629850000000,1145,629850000000,world,firefly/odometry_sensor1,8.98318452288E-06,-1.05322750351E-06,0.0610354005,7.07015381514E-06,6.44189401213E-06,-0.000171183,0.9999999853,0.0003281536,-0.0004222402,0.0099252528,0.0052338275,0.0031180581,-0.0004529463
629854000000,1146,629852000000,world,firefly/odometry_sensor1,8.47051901899E-06,5.62239014052E-08,0.0610357746,-5.42492933094E-07,3.88042208218E-06,-0.0001712333,0.9999999853,-0.0002565554,0.0005540709,0.0001867223,-0.0076059302,-0.0025625195,-4.57985433782E-05
629856000000,1147,629854000000,world,firefly/odometry_sensor1,7.98149576207E-06,1.09324725085E-06,0.0609968845,-6.44448196654E-06,1.39775168131E-06,-0.0001711204,0.9999999853,-0.0002446348,0.0005186786,-0.0194450745,-0.0059015643,-0.002483681,0.000112936
629856000000,1148,629856000000,world,firefly/odometry_sensor1,9.00749774895E-06,-1.0483068544E-06,0.0610354005,6.98144186051E-06,6.44190179806E-06,-0.0001716937,0.9999999852,0.0003281534,-0.0004222436,0.0099252515,0.0052352089,0.0031180521,-0.0004529475
629860000000,1149,629858000000,world,firefly/odometry_sensor1,8.494829735E-06,6.11497708603E-08,0.0610357746,-6.29450616233E-07,3.88041355604E-06,-0.000171744,0.9999999852,-0.0002565572,0.0005540732,0.0001867228,-0.0076041746,-0.0025625394,-0.000045806
629862000000,1150,629860000000,world,firefly/odometry_sensor1,8.00580568205E-06,1.09819026029E-06,0.0609968845,-6.52825102095E-06,1.3977333621E-06,-0.000171631,0.9999999852,-0.0002446357,0.0005186902,-0.0194450733,-0.0058983744,-0.0024836933,0.0001129333
629862000000,1151,629862000000,world,firefly/odometry_sensor1,9.0318098793E-06,-1.0433103068E-06,0.0610354005,6.89808865351E-06,6.44191150451E-06,-0.0001722044,0.9999999851,0.0003281534,-0.0004222451,0.0099252515,0.0052359586,0.0031180523,-0.0004529459
629866000000,1152,629864000000,world,firefly/odometry_sensor1,8.51914278504E-06,6.61432085163E-08,0.0610357746,-7.11440924954E-07,3.88042462675E-06,-0.0001722547,0.9999999852,-0.0002565573,0.0005540714,0.0001867216,-0.0076028104,-0.0025625416,-4.58045224991E-05
629866000000,1153,629866000000,world,firefly/odometry_sensor1,8.03011954354E-06,1.10316936647E-06,0.0609968845,-6.60749782286E-06,1.39774438298E-06,-0.0001721417,0.9999999852,-0.0002446358,0.0005186858,-0.0194450745,-0.0058956296,-0.0024836959,0.0001129338
629868000000,1154,629868000000,world,firefly/odometry_sensor1,9.05612386769E-06,-1.03838935938E-06,0.0610354005,6.81944205828E-06,6.44192519384E-06,-0.0001727151,0.999999985,0.0003281538,-0.0004222451,0.0099252528,0.0052361822,0.0031180603,-0.0004529458
629870000000,1155,629870000000,world,firefly/odometry_sensor1,8.54346155193E-06,7.10639574418E-08,0.0610357746,-7.8911914905E-07,3.88046257902E-06,-0.0001727653,0.9999999851,-0.0002565555,0.000554071,0.0001867225,-0.0076018407,-0.0025625211,-0.000045799
629874000000,1156,629872000000,world,firefly/odometry_sensor1,8.05444125037E-06,1.10808899808E-06,0.0609968845,-6.68190989247E-06,1.39779785054E-06,-0.0001726524,0.9999999851,-0.0002446349,0.0005186879,-0.0194450743,-0.0058923622,-0.0024836829,0.0001129354
629874000000,1157,629874000000,world,firefly/odometry_sensor1,9.08043627126E-06,-1.03347888668E-06,0.0610354005,7.85453938072E-06,6.44172191164E-06,-0.0001732257,0.9999999849,0.000328153,-0.000422231,0.0099252488,0.0063457203,0.003118036,-0.0004529463
629876000000,1158,629876000000,world,firefly/odometry_sensor1,8.56776104678E-06,0.000000076,0.0610357746,2.10225806371E-07,3.88019244448E-06,-0.000173276,0.999999985,-0.0002565625,0.0005540807,0.0001867232,-0.0076375919,-0.002562598,-4.58230758534E-05
629880000000,1159,629878000000,world,firefly/odometry_sensor1,8.07873485367E-06,1.11308561148E-06,0.0609968845,-7.086676179E-06,1.39772769357E-06,-0.0001731631,0.999999985,-0.0002446384,0.0005187369,-0.0194450692,-0.0072964721,-0.0024837291,0.0001129305
629882000000,1160,629880000000,world,firefly/odometry_sensor1,9.10474501077E-06,-1.02826404138E-06,0.0610354005,7.45639573623E-06,6.44178096127E-06,-0.0001737364,0.9999999849,0.000328153,-0.0004222385,0.0099252487,0.006353691,0.0031180372,-0.00045294
629882000000,1161,629882000000,world,firefly/odometry_sensor1,8.59207016416E-06,8.11943851131E-08,0.0610357746,-1.68349227769E-07,3.88024318064E-06,-0.0001737867,0.9999999849,-0.0002565629,0.0005540732,0.0001867187,-0.007618022,-0.0025626068,-4.58186310559E-05
629884000000,1162,629884000000,world,firefly/odometry_sensor1,0.000008103,1.11822783892E-06,0.0609968845,-6.07787966576E-06,1.39753103204E-06,-0.0001736737,0.9999999849,-0.0002446388,0.0005186681,-0.0194450756,-0.0059090993,-0.0024837391,0.0001129309
629888000000,1163,629886000000,world,firefly/odometry_sensor1,9.12906138684E-06,-1.02334982389E-06,0.0610354005,0.000007339,6.44181037689E-06,-0.0001742471,0.9999999848,0.0003281548,-0.0004222343,0.0099252539,0.0052260562,0.0031180679,-0.0004529516
629888000000,1164,629888000000,world,firefly/odometry_sensor1,8.61640225995E-06,8.61061701844E-08,0.0610357746,-2.81282805881E-07,3.88035793719E-06,-0.0001742974,0.9999999848,-0.0002565556,0.0005540717,0.000186722,-0.0076136058,-0.0025625247,-4.57946069388E-05
629892000000,1165,629890000000,world,firefly/odometry_sensor1,8.12738481497E-06,1.12313386591E-06,0.0609968845,-6.18934931896E-06,1.39770094821E-06,-0.0001741844,0.9999999848,-0.000244635,0.0005186694,-0.0194450748,-0.0059076341,-0.0024836867,0.0001129391
629894000000,1166,629892000000,world,firefly/odometry_sensor1,9.15337661665E-06,-1.01842438428E-06,0.0610354005,7.23122268348E-06,6.44183104499E-06,-0.0001747578,0.9999999847,0.000328154,-0.0004222369,0.0099252532,0.005229834,0.003118061,-0.0004529479
629894000000,1167,629894000000,world,firefly/odometry_sensor1,8.64071943322E-06,0.000000091,0.0610357746,-3.85624881473E-07,3.88038824998E-06,-0.000174808,0.9999999847,-0.0002565552,0.0005540711,0.0001867222,-0.0076101218,-0.0025625183,-4.57965075281E-05
629896000000,1168,629896000000,world,firefly/odometry_sensor1,8.15170388813E-06,1.128058293E-06,0.0609968845,-6.29172626273E-06,1.39774039958E-06,-0.0001746951,0.9999999847,-0.0002446346,0.0005186728,-0.0194450746,-0.0059056677,-0.0024836803,0.0001129378
629900000000,1169,629898000000,world,firefly/odometry_sensor1,9.1776913878E-06,-1.01350002638E-06,0.0610354005,7.13154415368E-06,6.44185099392E-06,-0.0001752684,0.9999999846,0.0003281537,-0.000422239,0.0099252529,0.0052325378,0.0031180588,-0.0004529482
629902000000,1170,629900000000,world,firefly/odometry_sensor1,0.000008665,0.000000096,0.0610357746,-4.82567308715E-07,3.88041115801E-06,-0.0001753187,0.9999999846,-0.0002565553,0.000554071,0.0001867222,-0.0076073844,-0.0025625188,-4.57976509727E-05
629902000000,1171,629902000000,world,firefly/odometry_sensor1,0.000008176,0.000001133,0.0609968845,-6.3862964463E-06,1.39776568577E-06,-0.0001752057,0.9999999846,-0.0002446347,0.0005186764,-0.0194450745,-0.0059032942,-0.0024836805,0.0001129369
629906000000,1172,629904000000,world,firefly/odometry_sensor1,0.000009202,-1.00857926055E-06,0.0610354005,7.03883246608E-06,6.44186147333E-06,-0.0001757791,0.9999999845,0.0003281534,-0.0004222425,0.0099252516,0.0052343941,0.0031180522,-0.0004529496
629906000000,1173,629906000000,world,firefly/odometry_sensor1,8.68934629074E-06,1.00881755256E-07,0.0610357746,-5.73184711672E-07,3.88040493841E-06,-0.0001758294,0.9999999845,-0.0002565572,0.0005540733,0.0001867227,-0.0076052888,-0.002562539,-4.58053201248E-05
629908000000,1174,629908000000,world,firefly/odometry_sensor1,8.20033081621E-06,1.13792642585E-06,0.0609968845,-6.47389724506E-06,1.39774945869E-06,-0.0001757164,0.9999999845,-0.0002446356,0.0005186882,-0.0194450733,-0.0059002763,-0.002483693,0.0001129341
629910000000,1175,629910000000,world,firefly/odometry_sensor1,9.22631756388E-06,-1.00358277148E-06,0.0610354005,0.000006952,6.44187297013E-06,-0.0001762898,0.9999999844,0.0003281534,-0.0004222442,0.0099252516,0.0052355327,0.0031180522,-0.000452948
629912000000,1176,629912000000,world,firefly/odometry_sensor1,8.71365961379E-06,1.05875121701E-07,0.0610357746,-6.58332898269E-07,3.88041761674E-06,-0.00017634,0.9999999844,-0.0002565573,0.0005540715,0.0001867216,-0.0076036403,-0.0025625414,-4.58038847876E-05
