%time,field.header.seq,field.header.stamp,field.header.frame_id,field.child_frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
629786000000,67,629784000000,world,firefly/base_link,0.0064480895,-0.0091459172,0.0610376415,7.10456129768E-07,1.59565095302E-05,-0.0002027823,0.9999999793,-0.0002565987,0.0005541274,0.0001868877,9.72697161457E-05,0.0024152476,-0.0076374996
629820000000,68,629818000000,world,firefly/base_link,0.0064470619,-0.0091436969,0.061038373,-5.95438084765E-05,-5.00121964569E-05,-0.0002141183,0.9999999741,-0.0002568629,0.0005545646,0.0001845034,-0.0064957821,-0.0071631468,-0.0087206005
629854000000,69,629852000000,world,firefly/base_link,0.006399108,-0.0095516692,0.0608797541,-2.40985682431E-05,-2.50048434425E-05,-0.0001579023,0.9999999869,-0.0002448404,0.0005189856,-0.0194630321,-0.0044345603,-0.0066029093,0.0031769255
629888000000,70,629886000000,world,firefly/base_link,0.0059217406,-0.0101030062,0.0610754908,-0.000009035,-9.31829151821E-06,-0.0001674342,0.9999999859,0.0003285293,-0.0004228755,0.0099309278,-0.0044336853,-0.0066016665,0.003176307
629922000000,71,629922000000,world,firefly/base_link,0.0090264644,-0.008782302,0.0610017467,-0.0001134514,0.0001135516,-0.0002202055,0.9999999629,-0.0002565285,0.0005540206,0.0001870351,-0.0094233996,0.011026863,-0.0045521136
629956000000,72,629954000000,world,firefly/base_link,0.0069854473,-0.0102358131,0.0610380175,-1.0333120586E-05,0.000072371,-0.0001582199,0.9999999848,-0.0002565144,0.000553995,0.0001871895,-0.0002902941,0.0118632621,0.0038624804
629992000000,73,629986000000,world,firefly/base_link,0.0076911719,-0.0096170834,0.061083798,-5.15598449937E-05,2.99001040054E-05,-0.0001868836,0.9999999808,-0.0002565943,0.0005541238,0.0001861427,-0.011594725,0.0069133768,-0.0014829224
630028000000,74,630022000000,world,firefly/base_link,0.0070886397,-0.0100415865,0.061002354,-2.59113518389E-07,2.62414971296E-05,-0.0001498631,0.9999999884,-0.0002568629,0.0005545675,0.0001817674,-0.0006248967,0.0032928114,0.006176621
630062000000,75,630060000000,world,firefly/base_link,0.0039839156,-0.0109735044,0.0608412028,2.03834817303E-05,-2.70118185299E-05,-0.0001622513,0.9999999863,-0.0002449356,0.0005191227,-0.0194735124,0.0026646823,-0.0066892746,0.0052589524
630096000000,76,630094000000,world,firefly/base_link,0.006983376,-0.010006304,0.0610395081,3.93206226806E-05,-4.09367503237E-05,-0.000207335,0.9999999769,-0.0002566338,0.0005541956,0.0001863312,0.0032898391,-0.0041653536,-0.0037020784
630130000000,77,630130000000,world,firefly/base_link,0.0059542127,-0.0110287043,0.0611347331,-1.40657019472E-05,6.87163367681E-07,-0.0001510956,0.9999999885,0.0003289125,-0.000423565,0.0099412871,-0.0042772026,-0.0011173457,0.0087601036
630164000000,78,630164000000,world,firefly/base_link,0.0059575142,-0.0110329379,0.0612342252,-9.20271210787E-05,9.42325623348E-05,-8.06408934035E-05,0.9999999881,0.0003296658,-0.0004248678,0.0099571921,-0.0131210741,0.0126500631,0.0090092678
630198000000,79,630196000000,world,firefly/base_link,0.0068070072,-0.012657117,0.0611505507,-0.0001555273,5.67125275039E-05,-0.0001773026,0.9999999706,0.0003283734,-0.0004226212,0.0099303111,-0.0155644745,0.0027972764,-0.0004917153
630232000000,80,630230000000,world,firefly/base_link,0.0080496701,-0.0095502615,0.0611743755,-0.0001369347,7.4282748258E-06,-0.0001793049,0.9999999745,0.0003282621,-0.0004224228,0.0099277627,-0.0188775715,0.0006913222,0.0035892864
630266000000,81,630264000000,world,firefly/base_link,0.0064011868,-0.0110142792,0.0611545939,-0.0001082251,4.79442231241E-06,-0.0002216569,0.9999999696,0.0003287903,-0.0004233822,0.0099402445,-0.0178761718,8.84987862468E-05,-0.003306299
630302000000,82,630300000000,world,firefly/base_link,0.0070685215,-0.0099556699,0.0607230075,-8.6965554155E-05,-4.17107599464E-05,-0.0002943031,0.999999952,-0.0002470121,0.0005224173,-0.0195936525,-0.0101080426,-0.0053957096,-0.0107375374
630336000000,83,630332000000,world,firefly/base_link,0.0069062983,-0.0104475753,0.0610070787,-0.000037226,1.43447279661E-05,-0.0002088779,0.9999999774,-0.0002571506,0.0005550325,0.000181137,-0.0060044889,0.0028199515,0.0008480223
630364000000,84,630364000000,world,firefly/base_link,0.0058894374,-0.0107343174,0.0611440535,-0.0001173305,8.09703064203E-05,-0.0001613265,0.9999999768,0.0003284766,-0.0004228072,0.0099328017,-0.0109714751,0.0079763507,0.006185932
630412000000,85,630404000000,world,firefly/base_link,0.0059210666,-0.0119408479,0.0610552555,0.000000251,9.14336903224E-06,-0.0002255366,0.9999999745,0.0003283641,-0.0004226029,0.0099297745,-0.0069898149,0.002696763,-0.0073712071
630446000000,86,630446000000,world,firefly/base_link,0.005968309,-0.0085321928,0.0610878261,-8.71010809716E-05,-1.1151508173E-06,-0.0002488167,0.9999999653,0.0003281636,-0.0004222496,0.0099254212,-0.0100304732,-0.0011045959,-0.0024739368
630480000000,87,630476000000,world,firefly/base_link,0.0070807342,-0.0094841822,0.0610552513,-1.04824226328E-05,-5.02351186468E-06,-0.000223068,0.9999999751,0.0003281685,-0.0004222694,0.0099254808,-0.0097727261,-0.0089107758,0.0012759562
630514000000,88,630508000000,world,firefly/base_link,0.0048542634,-0.008623749,0.0610564368,-4.43805854656E-05,3.05578161494E-06,-0.0002353259,0.9999999713,0.0003281823,-0.000422287,0.0099257087,-0.0172057474,-0.001140545,-0.0028264719
630548000000,89,630546000000,world,firefly/base_link,0.0079531972,-0.0096909545,0.061254132,-0.0001881251,-2.77987359303E-05,-0.0001693976,0.9999999676,0.0003281801,-0.0004222775,0.0099256812,-0.0170133566,-0.003103401,0.0064128738
630582000000,90,630580000000,world,firefly/base_link,0.0048097525,-0.0093366995,0.060646865,-0.0001461347,-2.13887458599E-05,-0.0001747553,0.9999999738,-0.0002446457,0.0005186992,-0.0194459929,-0.0170118327,-0.0031031176,0.0064123279
630616000000,91,630614000000,world,firefly/base_link,0.0072280797,-0.0101221715,0.060888601,-9.57128617197E-05,-1.64171888678E-06,-0.0002601975,0.9999999616,-0.0002446401,0.0005186818,-0.0194467951,-0.0109733489,-0.0007228211,-0.0035061887
630650000000,92,630648000000,world,firefly/base_link,0.0067063613,-0.0098393519,0.0611546082,-7.05175932246E-05,4.86308883002E-05,-0.0002671723,0.9999999606,0.0003282219,-0.000422336,0.0099426614,-0.010741097,0.0083689557,-0.0048485202
630684000000,93,630682000000,world,firefly/base_link,0.0064376706,-0.0099721068,0.0609980333,-1.33975795147E-05,9.89648402621E-06,-0.0002850317,0.9999999592,-0.000256769,0.0005544332,0.0001942979,-0.0067687237,0.0011462617,-0.014458318
630720000000,94,630718000000,world,firefly/base_link,0.0064713675,-0.009184424,0.0607266381,-3.03866130809E-05,1.97348134933E-05,-0.0002900932,0.9999999573,-0.0002567661,0.0005544315,0.0001940977,-0.0035729365,0.0024997964,0.0014700604
630752000000,95,630748000000,world,firefly/base_link,0.005561316,-0.0106647852,0.0610361509,-1.02345819884E-05,9.62343176653E-06,-0.0002531336,0.9999999679,-0.000256557,0.000554066,0.0001894681,-0.0101194692,0.0057352638,-0.0058086559
630784000000,96,630784000000,world,firefly/base_link,0.0076165563,-0.0097238886,0.0610567226,-7.82099190962E-05,1.28602192555E-05,-0.000283473,0.9999999567,-0.0002565116,0.0005540213,0.0001898974,-0.0170241796,0.0012703058,-0.0066272626
630820000000,97,630818000000,world,firefly/base_link,0.0061229939,-0.0105899887,0.0607631588,-0.000143498,1.88363911073E-05,-0.0003155984,0.9999999397,-0.0002444301,0.0005183901,-0.0194470271,-0.0207582988,0.0029465218,-0.0115699226
630854000000,98,630852000000,world,firefly/base_link,0.0051106211,-0.0090762978,0.0606079644,-0.0002000304,3.60887701539E-05,-0.000371635,0.9999999103,-0.000244493,0.0005185399,-0.0194466197,-0.0207561431,0.0029462764,-0.0115688236
630898000000,99,630872000000,world,firefly/base_link,0.0051180224,-0.0090883773,0.0610261365,-0.0002077526,3.35241150167E-05,-0.0003721863,0.9999999086,0.0003283449,-0.0004225483,0.0099323521,-0.020754243,0.0029459719,-0.0115677294
630932000000,100,630926000000,world,firefly/base_link,0.0075297224,-0.0089863895,0.0609965083,-6.93788996178E-06,2.57834553757E-05,-0.0002638508,0.9999999648,-0.0002444339,0.0005186368,-0.0194463625,-0.0063896806,0.0218975477,-0.0012051426
630966000000,101,630964000000,world,firefly/base_link,0.0081346994,-0.0089448465,0.0610373689,-9.07373743126E-06,6.2509292547E-05,-0.0002901093,0.9999999559,-0.0002564489,0.0005539691,0.0002118559,-0.0007448306,0.0152770891,-0.0062556777
631002000000,102,630990000000,world,firefly/base_link,0.0058817372,-0.0085529751,0.0611353588,3.16819153686E-06,0.000082824,-0.0002994882,0.9999999517,0.0003292262,-0.0004244084,0.009982116,-0.0007446695,0.0152757836,-0.0062551516
631036000000,103,631034000000,world,firefly/base_link,0.0062879337,-0.0105493279,0.0610366044,-6.36454391186E-06,1.54135859958E-05,-0.0002620949,0.9999999655,0.0003283845,-0.0004226139,0.0099346438,4.55135421285E-05,0.0070074472,0.0045599541
631072000000,104,631068000000,world,firefly/base_link,0.0062464181,-0.0098527333,0.0609984189,-1.43543039908E-05,2.39068462804E-06,-0.0002807822,0.9999999605,-0.0002577927,0.000556279,0.0001951488,-0.0053810438,-0.0010171656,-0.001482516
631106000000,105,631106000000,world,firefly/base_link,0.0070436824,-0.0108594396,0.0605688274,-0.0001526433,-1.01705900072E-05,-0.0001814644,0.9999999718,-0.0002451481,0.0005196162,-0.0194539034,-0.0164914974,-0.001541474,0.0116921985
631142000000,106,631138000000,world,firefly/base_link,0.0072910691,-0.0090734235,0.061037263,-0.000046492,3.16453156782E-05,-0.0002663798,0.9999999629,-0.0002568124,0.000554525,0.0001897727,-0.0113228644,0.0066961793,0.0007117539
631174000000,107,631170000000,world,firefly/base_link,0.0052631572,-0.0086147429,0.0606079796,-0.0001392386,0.0001174381,-0.0001835226,0.9999999666,-0.0002446667,0.0005185576,-0.0194453797,-0.0135984735,0.0122491691,0.0110629962
631208000000,108,631208000000,world,firefly/base_link,0.005418231,-0.01027162,0.0608024323,-7.50104043292E-05,6.26884256102E-05,-0.000230716,0.9999999686,-0.000244652,0.0005186064,-0.0194452657,-0.0135960556,0.0122469048,0.011060986
631242000000,109,631240000000,world,firefly/base_link,0.0088811542,-0.0097847633,0.0608419497,-0.0001138055,4.26749035553E-05,-0.0002076095,0.9999999711,-0.000256572,0.0005540151,0.0001907473,-0.0069186713,0.0007447595,0.0046683899
631276000000,110,631274000000,world,firefly/base_link,0.0076755655,-0.0107578168,0.060763169,1.06346524917E-05,3.98103240085E-05,-0.000252895,0.9999999672,-0.0002435524,0.0005177606,-0.0194451824,0.0005616124,0.0048060901,0.0056264384
631310000000,111,631310000000,world,firefly/base_link,0.0063750998,-0.0101480739,0.0610380201,1.60201358353E-05,0.0001008437,-0.0002980485,0.9999999504,-0.0002563662,0.0005538739,0.0001883536,0.002619286,0.0161627925,-0.0005377872
631344000000,112,631342000000,world,firefly/base_link,0.0084106658,-0.0112165586,0.0612213354,-4.74739248219E-05,1.55905691932E-05,-0.0002493733,0.9999999677,0.0003281775,-0.0004222677,0.0099176171,-0.00298102,-0.0026046468,0.0054021195
631376000000,113,631376000000,world,firefly/base_link,0.0053737181,-0.0113940632,0.0611147989,-0.000033664,-7.18119089636E-06,-0.000303888,0.9999999532,0.0003281649,-0.0004222543,0.0099214394,-0.0084183343,-0.0027758329,-0.0009686982
631414000000,114,631396000000,world,firefly/base_link,0.0053705813,-0.0113895775,0.0610361433,-1.44767726091E-05,3.35656873733E-06,-0.0002973319,0.9999999557,-0.000256616,0.0005541839,0.0001818029,-0.013772672,-0.0005367046,0.0051484988
631446000000,115,631446000000,world,firefly/base_link,0.0068309374,-0.0103653399,0.0607592392,-0.0001628851,-1.58435085414E-05,-0.0003981853,0.9999999073,-0.0002566756,0.0005542943,0.0001769512,-0.0161056095,-0.0019085356,-0.0093071509
631482000000,116,631480000000,world,firefly/base_link,0.0071711178,-0.0101993925,0.0610361437,-1.30060874441E-05,0.000011372,-0.0003100716,0.9999999518,-0.0002566176,0.0005541847,0.0001824158,-0.0066681454,0.0099669804,-0.000554069
631516000000,117,631510000000,world,firefly/base_link,0.0095037236,-0.0099580497,0.0610750913,-1.31381626286E-05,3.69031694163E-05,-0.0002865755,0.9999999582,0.0003282618,-0.0004223809,0.0099201558,-0.0066932461,0.0165051965,0.0128039342
631550000000,118,631548000000,world,firefly/base_link,0.006739739,-0.0093856343,0.0610386308,-0.0001329626,0.000126423,-0.0002978353,0.9999999388,-0.0002569192,0.0005547441,0.0001645045,-0.0140776792,0.0138785079,0.001807008
631584000000,119,631582000000,world,firefly/base_link,0.0079865082,-0.010014284,0.0608802435,-2.16613280811E-05,4.34324108317E-06,-0.000305071,0.9999999532,-0.000244635,0.0005186786,-0.0194450755,-0.0070732115,0.0001474913,0.0044137709
631618000000,120,631618000000,world,firefly/base_link,0.0079819677,-0.0100045777,0.0607224388,-0.0001875055,6.40557048428E-05,-0.0002658594,0.999999945,-0.0002566342,0.000554209,0.0001825887,-0.0178085887,0.0069375814,0.0045714067
631652000000,121,631650000000,world,firefly/base_link,0.0070427125,-0.0084325726,0.0611358142,-6.84647705315E-05,3.48562413012E-05,-0.0003093348,0.9999999492,0.0003281532,-0.0004222482,0.0099252522,-0.0091845179,0.0061116509,-0.0001104445
631686000000,122,631686000000,world,firefly/base_link,0.0060732021,-0.0091757339,0.061137266,-0.000093482,3.45956028178E-05,-0.0002058459,0.9999999738,-0.0002565051,0.0005539793,0.0001871376,-0.0076180586,0.002229793,0.0137442528
631722000000,123,631716000000,world,firefly/base_link,0.0074914239,-0.0094053896,0.060685374,-8.40555927086E-05,4.62666967383E-06,-0.0002907798,0.9999999542,-0.0002445934,0.0005186116,-0.019446373,-0.0069031382,0.0011091209,0.0031959274
631756000000,124,631754000000,world,firefly/base_link,0.0073202961,-0.0104973932,0.0606857579,-0.000090427,4.22515492846E-05,-0.000349861,0.9999999338,-0.0002446131,0.0005186457,-0.0194460322,-0.0127947664,0.0037306698,-0.0004998945
631790000000,125,631788000000,world,firefly/base_link,0.005748403,-0.0088213032,0.0610830908,-6.90606041242E-05,7.37439488125E-06,-0.0003800095,0.9999999254,-0.0002566006,0.0005541459,0.0001877377,-0.010221391,0.0006921694,-0.0082394836
